"UserID","Feature","Efficiency","Consumables","Comparison","Month"
"1001","65sqm apartment | Single | Wood floor","Coverage: 85%\nDaily cleaning: 45sqm\nMissed areas: Under sofa (insufficient clearance)","Main brush life: 60 days remaining\nHEPA filter: 40% remaining","Better than 65% of similar-area users (higher cleaning frequency)","2025-01"
"1001","65sqm apartment | Single | Wood floor","Coverage: 87%\nDaily cleaning: 47sqm\nMissed areas: Under sofa (insufficient clearance)","Main brush life: 50 days remaining\nHEPA filter: 30% remaining","Better than 70% of similar-area users","2025-03"
"1002","70sqm apartment | Couple | Tile","Coverage: 88%\nObstacle avoidance failure: 2x/week (cords + cables)","Side brush wear: Heavy-\nDustbin: every 2 days","Mopping usage 30% below avg + recommend cable management","2025-03"
"1003","90sqm | 1 dog | Short-pile carpet","Hair cleaning: 92%\nCarpet boost usage: 16x/month","Rubber brush: replaced\nDustbin: daily cleaning","Hair cleaning efficiency top 15%","2025-03"
"1004","85sqm | 2 cats | Mixed flooring","Litter spill handling: 7x/month\nAuto-recharge success: 88%","Main brush tangling: Severe\nFilter: replaced","5% efficiency gain after suction upgrade","2025-03"
"1005","120sqm | Elderly | Anti-slip tile","Manual operation: 93%\nScheduled cleaning: 2x/week","Battery degradation: 27%\nWater tank first use: 1 time","Voice control installation scheduled","2025-03"
"1006","150sqm house | Children | Multi-level","Cross-floor failure: 2x/week\nToy avoidance rate: 78%","Side brush: 1x/quarter\nDust bag: 1/month","Robotic arm installed + cross-floor nav optimized","2025-03"
"1007","55sqm studio | Single | Laminate","Coverage: 92%\nDaily cleaning: 37sqm\nEdge cleaning: no blind spots","Filter life: 70 days remaining\nDustbin: every 4 days","Better than 75% of small-apartment users","2025-03"
"1008","100sqm 3BR | Family of 3 | Marble","Coverage: 88%\nDining area missed: 0x/day\nObstacle avoidance: 92%","Main brush wear: Moderate-\nWater tank: refill 1x/day","Marble floor cleaning on par with average","2025-03"
"1009","80sqm 2BR | Pet owner | Engineered wood","Pet hair cleaning: 88%\nAuto-recharge success: 94%","Rubber brush tangling: Light+\nFilter: 20 days remaining","Top tier among pet-owner households","2025-03"
"1010","130sqm 4BR | Multi-gen family | Porcelain tile","Coverage: 85%\nManual assist: 2x/day\nScheduled cleaning: 70%","Battery degradation: 17%\nSide brush: 35 days remaining","Large-home usability on par with average","2025-03"
"1001","65sqm apartment | Single | Wood floor","Coverage: 88%\nDaily cleaning: 48sqm\nMissed areas: None (sofa clearance fixed)","Main brush life: 45 days remaining\nHEPA filter: 25% remaining","Better than 75% of similar-area users (zero blind spots)","2025-04"
"1002","70sqm apartment | Couple | Tile","Coverage: 89%\nObstacle avoidance failure: 1x/week (cord tangling)","Side brush wear: Moderate\nDustbin: every 3 days","Mopping usage rate now at average","2025-04"
"1003","90sqm | 1 dog | Short-pile carpet","Hair cleaning: 93%\nCarpet boost usage: 17x/month","Rubber brush life: 45 days remaining\nDustbin: every 2 days","Hair cleaning efficiency top 10%","2025-04"
"1004","85sqm | 2 cats | Mixed flooring","Litter spill handling: 6x/month\nAuto-recharge success: 90%","Main brush tangling: Moderate+\nFilter life: 60 days remaining","20% better than average pet-owner household","2025-04"
"1005","120sqm | Elderly | Anti-slip tile","Manual operation: 85%\nScheduled cleaning: 5x/week","Battery degradation: 28%\nWater tank usage: 50%","Voice control installed + proficiency improving","2025-04"
"1006","150sqm house | Children | Multi-level","Cross-floor failure: 1x/week\nToy avoidance rate: 85%","Side brush life: 60 days remaining\nDust bag: 0.8/month","Better than 80% of large multi-level users","2025-04"
"1007","55sqm studio | Single | Laminate","Coverage: 93%\nDaily cleaning: 38sqm\nEdge cleaning: no blind spots","Filter life: 65 days remaining\nDustbin: every 5 days","Better than 80% of small-apartment users","2025-04"
"1008","100sqm 3BR | Family of 3 | Marble","Coverage: 90%\nObstacle avoidance: 95%","Main brush life: 70 days remaining\nWater tank: refill 1x/day","Marble floor cleaning 10% above average","2025-04"
"1009","80sqm 2BR | Pet owner | Engineered wood","Pet hair cleaning: 90%\nAuto-recharge success: 95%","Rubber brush tangling: Light\nFilter life: 50 days remaining","Top 20% among pet-owner households","2025-04"
"1010","130sqm 4BR | Multi-gen family | Porcelain tile","Coverage: 87%\nManual assist: 1x/day\nScheduled cleaning: 75%","Battery degradation: 18%\nSide brush: 30 days remaining","10% above average for large-home usability","2025-04"
"1001","65sqm apartment | Single | Wood floor","Coverage: 89%\nDaily cleaning: 49sqm\nNo missed areas","Main brush life: 40 days remaining\nHEPA filter: 20% remaining","Better than 80% of similar-area users (peak efficiency)","2025-05"
"1002","70sqm apartment | Couple | Tile","Coverage: 90%\nObstacle avoidance failure: 0x/week","Side brush life: 50 days remaining\nDustbin: every 4 days","Mopping usage 10% above average","2025-05"
"1003","90sqm | 1 dog | Short-pile carpet","Hair cleaning: 94%\nCarpet boost usage: 18x/month","Rubber brush life: 40 days remaining\nDustbin: every 2 days","Hair cleaning efficiency top 8%","2025-05"
"1004","85sqm | 2 cats | Mixed flooring","Litter spill handling: 5x/month\nAuto-recharge success: 92%","Main brush tangling: Light\nFilter life: 55 days remaining","25% better than average pet-owner household","2025-05"
"1005","120sqm | Elderly | Anti-slip tile","Manual operation: 75%\nScheduled cleaning: 7x/week","Battery degradation: 29%\nWater tank usage: 70%","Voice control proficiency: excellent","2025-05"
"1006","150sqm house | Children | Multi-level","Cross-floor failure: 0x/week\nToy avoidance rate: 90%","Side brush life: 55 days remaining\nDust bag: 0.7/month","Better than 90% of large multi-level users","2025-05"
"1007","55sqm studio | Single | Laminate","Coverage: 94%\nDaily cleaning: 39sqm\nNo missed areas","Filter life: 60 days remaining\nDustbin: every 5 days","Better than 85% of small-apartment users","2025-05"
"1008","100sqm 3BR | Family of 3 | Marble","Coverage: 91%\nObstacle avoidance: 96%","Main brush life: 65 days remaining\nWater tank: refill 1x/day","Marble floor cleaning 15% above average","2025-05"
"1009","80sqm 2BR | Pet owner | Engineered wood","Pet hair cleaning: 91%\nAuto-recharge success: 96%","Rubber brush tangling: None\nFilter life: 45 days remaining","Top 15% among pet-owner households","2025-05"
"1010","130sqm 4BR | Multi-gen family | Porcelain tile","Coverage: 88%\nManual assist: 1x/day\nScheduled cleaning: 80%","Battery degradation: 19%\nSide brush: 25 days remaining","15% above average for large-home usability","2025-05"
"1001","65sqm apartment | Single | Wood floor","Coverage: 85%\nDaily cleaning: 45sqm\nMissed areas: Under sofa (insufficient clearance)","Main brush life: 60 days remaining\nHEPA filter: 40% remaining","Better than 65% of similar-area users","2025-06"
"1002","70sqm apartment | Couple | Tile","Coverage: 88%\nObstacle avoidance failure: 2x/week (cord tangling)","Side brush wear: Moderate\nDustbin: every 3 days","Mopping usage rate 30% below average","2025-06"
"1003","90sqm | 1 dog | Short-pile carpet","Hair cleaning: 92%\nCarpet boost usage: 15x/month","Rubber brush replacement: 25 days remaining\nDustbin: daily cleaning","Hair cleaning efficiency top 15%","2025-06"
"1004","85sqm | 2 cats | Mixed flooring","Litter spill handling: 8x/month\nAuto-recharge success: 89%","Main brush tangling: Severe\nFilter replacement: Urgent","Recommend upgrading suction to 2500Pa","2025-06"
"1005","120sqm | Elderly | Anti-slip tile","Manual operation: 95%\nScheduled cleaning: unused","Battery degradation: 25%\nWater tank: inactive","Voice control urgently needed","2025-06"
"1006","150sqm house | Children | Multi-level","Cross-floor failure: 3x/week\nToy avoidance rate: 76%","Side brush replacement: 2x/quarter\nDust bag: 1/month","Recommend adding robotic arm accessory","2025-06"
"1007","55sqm studio | Single | Laminate","Coverage: 90%\nDaily cleaning: 35sqm\nEdge cleaning: no blind spots","Filter life: 80 days remaining\nDustbin: every 5 days","Better than 70% of small-apartment users","2025-06"
"1008","100sqm 3BR | Family of 3 | Marble","Coverage: 86%\nDining area missed: 1x/day\nObstacle avoidance: 90%","Main brush wear: Light\nWater tank: refill 2x/day","Marble floor cleaning 15% below average","2025-06"
"1009","80sqm 2BR | Pet owner | Engineered wood","Pet hair cleaning: 85%\nAuto-recharge success: 92%","Rubber brush tangling: Moderate\nFilter: 30 days remaining","Mid-range among pet-owner households","2025-06"
"1010","130sqm 4BR | Multi-gen family | Porcelain tile","Coverage: 82%\nManual assist: 3x/day\nScheduled cleaning: 60%","Battery degradation: 15%\nSide brush: 45 days remaining","20% below average for large-home usability","2025-06"
"1001","65sqm apartment | Single | Wood floor","Coverage: 84%\nDaily cleaning: 44sqm\nMissed areas: Under sofa + under bed","Main brush life: 55 days remaining\nHEPA filter: 35% remaining","Better than 62% of similar-area users (slight decline)","2025-07"
"1002","70sqm apartment | Couple | Tile","Coverage: 87%\nObstacle avoidance failure: 3x/week (cords + slippers)","Side brush wear: Moderate+\nDustbin: every 2 days","Mopping usage 33% below average","2025-07"
"1003","90sqm | 1 dog | Short-pile carpet","Hair cleaning: 91%\nCarpet boost usage: 14x/month","Rubber brush replacement: 20 days remaining\nDustbin: 2x daily","Hair cleaning efficiency top 20%","2025-07"
"1004","85sqm | 2 cats | Mixed flooring","Litter spill handling: 9x/month\nAuto-recharge success: 87%","Main brush tangling: Severe+\nFilter replacement: Urgent","Recommend suction upgrade + anti-tangle brush","2025-07"
"1005","120sqm | Elderly | Anti-slip tile","Manual operation: 96%\nScheduled cleaning: unused (forgotten)","Battery degradation: 26%\nWater tank: inactive","Voice control re-training needed","2025-07"
"1006","150sqm house | Children | Multi-level","Cross-floor failure: 4x/week\nToy avoidance rate: 73%","Side brush: replacement due\nDust bag: 1.3/month","Robotic arm malfunction + cross-floor nav needs repair","2025-07"
"1007","55sqm studio | Single | Laminate","Coverage: 89%\nDaily cleaning: 34sqm\nEdge cleaning: minor gaps","Filter life: 75 days remaining\nDustbin: every 4 days","Better than 68% of small-apartment users","2025-07"
"1008","100sqm 3BR | Family of 3 | Marble","Coverage: 85%\nDining area missed: 2x/day\nObstacle avoidance: 89%","Main brush wear: Light+\nWater tank: refill 3x/day","Marble floor cleaning 17% below average","2025-07"
"1009","80sqm 2BR | Pet owner | Engineered wood","Pet hair cleaning: 84%\nAuto-recharge success: 91%","Rubber brush tangling: Moderate+\nFilter: 25 days remaining","Lower-mid range among pet-owner households","2025-07"
"1010","130sqm 4BR | Multi-gen family | Porcelain tile","Coverage: 81%\nManual assist: 4x/day\nScheduled cleaning: 55%","Battery degradation: 16%\nSide brush: 40 days remaining","22% below average for large-home usability","2025-07"
"1001","65sqm apartment | Single | Wood floor","Coverage: 83%\nDaily cleaning: 43sqm\nMissed areas: Under sofa + bed + balcony corner","Main brush life: 50 days remaining\nHEPA filter: 30% remaining","Better than 60% of similar-area users (continued decline)","2025-08"
"1002","70sqm apartment | Couple | Tile","Coverage: 86%\nObstacle avoidance failure: 4x/week (cords + slippers + stool)","Side brush wear: Heavy-\nDustbin: every 1 day","Mopping usage 35% below average","2025-08"
"1003","90sqm | 1 dog | Short-pile carpet","Hair cleaning: 90%\nCarpet boost usage: 13x/month","Rubber brush: replaced\nDustbin: 2x daily","Hair cleaning efficiency top 22%","2025-08"
"1004","85sqm | 2 cats | Mixed flooring","Litter spill handling: 10x/month\nAuto-recharge success: 85%","Main brush tangling: Severe++\nFilter: replaced","Anti-tangle brush installed, efficiency not yet improved","2025-08"
"1005","120sqm | Elderly | Anti-slip tile","Manual operation: 97%\nScheduled cleaning: unused","Battery degradation: 27%\nWater tank: inactive","Voice control needs debugging + re-training","2025-08"
"1006","150sqm house | Children | Multi-level","Cross-floor failure: 5x/week\nToy avoidance rate: 70%","Side brush replacement: 1x/month\nDust bag: 1.5/month","Robotic arm replaced + cross-floor nav needs deep optimization","2025-08"
"1007","55sqm studio | Single | Laminate","Coverage: 88%\nDaily cleaning: 33sqm\nEdge cleaning: more gaps","Filter life: 70 days remaining\nDustbin: every 3 days","Better than 65% of small-apartment users","2025-08"
"1008","100sqm 3BR | Family of 3 | Marble","Coverage: 84%\nDining area missed: 2x/day\nObstacle avoidance: 88%","Main brush wear: Moderate-\nWater tank: refill 3x/day","Marble floor cleaning 18% below average","2025-08"
"1009","80sqm 2BR | Pet owner | Engineered wood","Pet hair cleaning: 83%\nAuto-recharge success: 90%","Rubber brush tangling: Heavy-\nFilter: 20 days remaining","Bottom tier among pet-owner households","2025-08"
"1010","130sqm 4BR | Multi-gen family | Porcelain tile","Coverage: 80%\nManual assist: 4x/day\nScheduled cleaning: 50%","Battery degradation: 17%\nSide brush: 35 days remaining","25% below average for large-home usability","2025-08"
"1001","65sqm apartment | Single | Wood floor","Coverage: 84%\nDaily cleaning: 44sqm\nMissed areas: Under sofa + bed","Main brush life: 45 days remaining\nHEPA filter: 25% remaining","Better than 63% of similar-area users (slight rebound)","2025-09"
"1002","70sqm apartment | Couple | Tile","Coverage: 87%\nObstacle avoidance failure: 3x/week (cords + slippers)","Side brush wear: Moderate\nDustbin: every 2 days","Mopping usage 32% below avg + recommend decluttering","2025-09"
"1003","90sqm | 1 dog | Short-pile carpet","Hair cleaning: 91%\nCarpet boost usage: 15x/month","Rubber brush life: 45 days remaining\nDustbin: 1x daily","Hair cleaning efficiency top 18%","2025-09"
"1004","85sqm | 2 cats | Mixed flooring","Litter spill handling: 8x/month\nAuto-recharge success: 88%","Main brush tangling: Moderate+\nFilter life: 60 days remaining","Anti-tangle brush effective + 8% efficiency gain","2025-09"
"1005","120sqm | Elderly | Anti-slip tile","Manual operation: 90%\nScheduled cleaning: 4x/week","Battery degradation: 28%\nWater tank first use: 2 times","Voice control debugged + training in progress","2025-09"
"1006","150sqm house | Children | Multi-level","Cross-floor failure: 3x/week\nToy avoidance rate: 75%","Side brush life: 60 days remaining\nDust bag: 1.2/month","Cross-floor nav optimizing + slight efficiency rebound","2025-09"
"1007","55sqm studio | Single | Laminate","Coverage: 89%\nDaily cleaning: 35sqm\nEdge cleaning: gaps reduced","Filter life: 65 days remaining\nDustbin: every 4 days","Better than 70% of small-apartment users","2025-09"
"1008","100sqm 3BR | Family of 3 | Marble","Coverage: 86%\nDining area missed: 1x/day\nObstacle avoidance: 90%","Main brush wear: Light\nWater tank: refill 2x/day","Marble floor cleaning 15% below average","2025-09"
"1009","80sqm 2BR | Pet owner | Engineered wood","Pet hair cleaning: 86%\nAuto-recharge success: 92%","Rubber brush tangling: Moderate\nFilter: 30 days remaining","Rebounded to mid-range among pet-owner households","2025-09"
"1010","130sqm 4BR | Multi-gen family | Porcelain tile","Coverage: 82%\nManual assist: 3x/day\nScheduled cleaning: 60%","Battery degradation: 18%\nSide brush: 30 days remaining","Rebounded to 20% below average","2025-09"
"1001","65sqm apartment | Single | Wood floor","Coverage: 86%\nDaily cleaning: 46sqm\nMissed areas: Under sofa (insufficient clearance)","Main brush life: 40 days remaining\nHEPA filter: 20% remaining","Better than 68% of similar-area users (steady rebound)","2025-10"
"1002","70sqm apartment | Couple | Tile","Coverage: 89%\nObstacle avoidance failure: 1x/week (cord tangling)","Side brush life: 50 days remaining\nDustbin: every 3 days","Mopping usage 25% below average","2025-10"
"1003","90sqm | 1 dog | Short-pile carpet","Hair cleaning: 93%\nCarpet boost usage: 17x/month","Rubber brush life: 40 days remaining\nDustbin: every 2 days","Hair cleaning efficiency top 12%","2025-10"
"1004","85sqm | 2 cats | Mixed flooring","Litter spill handling: 7x/month\nAuto-recharge success: 90%","Main brush tangling: Light\nFilter life: 55 days remaining","20% better than average pet-owner household","2025-10"
"1005","120sqm | Elderly | Anti-slip tile","Manual operation: 80%\nScheduled cleaning: 6x/week","Battery degradation: 29%\nWater tank usage: 60%","Voice control proficiency improving + smooth operation","2025-10"
"1006","150sqm house | Children | Multi-level","Cross-floor failure: 2x/week\nToy avoidance rate: 80%","Side brush life: 55 days remaining\nDust bag: 1.0/month","Cross-floor nav optimized + 10% efficiency gain","2025-10"
"1007","55sqm studio | Single | Laminate","Coverage: 91%\nDaily cleaning: 37sqm\nEdge cleaning: no blind spots","Filter life: 60 days remaining\nDustbin: every 5 days","Better than 75% of small-apartment users","2025-10"
"1008","100sqm 3BR | Family of 3 | Marble","Coverage: 88%\nObstacle avoidance: 93%","Main brush life: 65 days remaining\nWater tank: refill 1x/day","Marble floor cleaning 10% below average","2025-10"
"1009","80sqm 2BR | Pet owner | Engineered wood","Pet hair cleaning: 89%\nAuto-recharge success: 94%","Rubber brush tangling: Light\nFilter life: 45 days remaining","Upper-mid range among pet-owner households","2025-10"
"1010","130sqm 4BR | Multi-gen family | Porcelain tile","Coverage: 85%\nManual assist: 2x/day\nScheduled cleaning: 70%","Battery degradation: 19%\nSide brush: 25 days remaining","15% below average for large-home usability","2025-10"
"1001","65sqm apartment | Single | Wood floor","Coverage: 88%\nDaily cleaning: 48sqm\nNo missed areas (sofa clearance fixed)","Main brush life: 35 days remaining\nHEPA filter: 15% remaining","Better than 75% of similar-area users (zero blind spots)","2025-11"
"1002","70sqm apartment | Couple | Tile","Coverage: 90%\nObstacle avoidance failure: 0x/week","Side brush life: 45 days remaining\nDustbin: every 4 days","Mopping usage on par with average","2025-11"
"1003","90sqm | 1 dog | Short-pile carpet","Hair cleaning: 94%\nCarpet boost usage: 18x/month","Rubber brush life: 35 days remaining\nDustbin: every 2 days","Hair cleaning efficiency top 10%","2025-11"
"1004","85sqm | 2 cats | Mixed flooring","Litter spill handling: 6x/month\nAuto-recharge success: 92%","Main brush tangling: None\nFilter life: 50 days remaining","30% better than average pet-owner household","2025-11"
"1005","120sqm | Elderly | Anti-slip tile","Manual operation: 70%\nScheduled cleaning: 7x/week","Battery degradation: 30%\nWater tank usage: 80%","Voice control proficient + 20% efficiency gain","2025-11"
"1006","150sqm house | Children | Multi-level","Cross-floor failure: 0x/week\nToy avoidance rate: 88%","Side brush life: 50 days remaining\nDust bag: 0.8/month","Better than 85% of large multi-level users","2025-11"
"1007","55sqm studio | Single | Laminate","Coverage: 93%\nDaily cleaning: 38sqm\nNo missed areas","Filter life: 55 days remaining\nDustbin: every 5 days","Better than 80% of small-apartment users","2025-11"
"1008","100sqm 3BR | Family of 3 | Marble","Coverage: 90%\nObstacle avoidance: 95%","Main brush life: 60 days remaining\nWater tank: refill 1x/day","Marble floor cleaning on par with average","2025-11"
"1009","80sqm 2BR | Pet owner | Engineered wood","Pet hair cleaning: 91%\nAuto-recharge success: 95%","Rubber brush tangling: None\nFilter life: 40 days remaining","Top 20% among pet-owner households","2025-11"
"1010","130sqm 4BR | Multi-gen family | Porcelain tile","Coverage: 87%\nManual assist: 1x/day\nScheduled cleaning: 75%","Battery degradation: 20%\nSide brush: 20 days remaining","Large-home usability on par with average","2025-11"
"1001","65sqm apartment | Single | Wood floor","Coverage: 90%\nDaily cleaning: 50sqm\nNo missed areas","Main brush life: 30 days remaining\nHEPA filter: 10% remaining","Better than 85% of similar-area users (peak efficiency)","2025-12"
"1002","70sqm apartment | Couple | Tile","Coverage: 92%\nObstacle avoidance success: 100%","Side brush life: 40 days remaining\nDustbin: every 5 days","Mopping usage 15% above average","2025-12"
"1003","90sqm | 1 dog | Short-pile carpet","Hair cleaning: 95%\nCarpet boost usage: 20x/month","Rubber brush life: 30 days remaining\nDustbin: every 2 days","Hair cleaning efficiency top 5%","2025-12"
"1004","85sqm | 2 cats | Mixed flooring","Litter spill handling: 5x/month\nAuto-recharge success: 95%","Main brush life: 40 days remaining\nFilter life: 45 days remaining","35% better than average pet-owner household","2025-12"
"1005","120sqm | Elderly | Anti-slip tile","Manual operation: 60%\nScheduled cleaning: 7x/week","Battery degradation: 30%\nWater tank usage: 90%","Voice control deeply adopted + 30% efficiency gain","2025-12"
"1006","150sqm house | Children | Multi-level","Cross-floor success: 100%\nToy avoidance rate: 95%","Side brush life: 45 days remaining\nDust bag: 0.7/month","Better than 95% of large multi-level users","2025-12"
"1007","55sqm studio | Single | Laminate","Coverage: 95%\nDaily cleaning: 40sqm\nNo missed areas","Filter life: 50 days remaining\nDustbin: every 5 days","Better than 90% of small-apartment users","2025-12"
"1008","100sqm 3BR | Family of 3 | Marble","Coverage: 92%\nObstacle avoidance: 98%","Main brush life: 55 days remaining\nWater tank: refill 1x/day","Marble floor cleaning 20% above average","2025-12"
"1009","80sqm 2BR | Pet owner | Engineered wood","Pet hair cleaning: 93%\nAuto-recharge success: 98%","Rubber brush life: 35 days remaining\nFilter life: 35 days remaining","Top 10% among pet-owner households","2025-12"
"1010","130sqm 4BR | Multi-gen family | Porcelain tile","Coverage: 90%\nManual assist: 0x/day\nScheduled cleaning: 90%","Battery degradation: 20%\nSide brush: 15 days remaining","20% above average for large-home usability","2025-12"
